id,descriptor_id,descriptor_en,reference,how_to_prepare,suggested_brands
144,95,Floral,Carnation Oil,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,"Salvia Carnation Oil, Nature’s Oil Floral Carnation Oil, Young Living/DoTerra Carnation Essential Oil"
145,95,Floral,White Grape Juice,Place juice in a plastic or glass cup and cover.,Welch’s White Grape Juice
146,95,Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #2: Black Tea","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
147,95,Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #3: Rose","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
148,95,Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #4: Jasmine","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
149,95,Floral,The Coffee Sensorium Flavour Kit - Vial #875: Floral (Sweet),"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
150,95,Floral,"FlavorActiV “rose/floral"" (geraniol)",Prepare according to FlavorActiV package instructions.,FlavorActiv
151,95,Floral,FlavorActiV “indole”,Prepare according to FlavorActiV package instructions.,FlavorActiv
152,104,Chemical,Adhesive bandage,Place one plastic Band Aid adhesive bandage in a covered glass or plastic cup.,Band Aid
153,104,Chemical,Iodine,Place ¼ cup iodine in a covered glass or plastic cup.,
154,104,Chemical,“Le Nez du Café Revelation” (36 vials) – Vial # 35: Medicinal,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
155,104,Chemical,"""Le Nez du Café"" (2025, 60 vials) - Vial #38: Medicinal","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
156,104,Chemical,"""Le Nez du Café"" (2025, 60 vials) - Vial #29: Tar","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
157,104,Chemical,"""Le Nez du Café"" (2025, 60 vials) - Vial #40: Rubber","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
158,104,Chemical,The Coffee Sensorium Flavour Kit - Vial #075: Rubber,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
159,104,Chemical,"FlavorActiV “medicinal (o-cresol)"" (Methyl Phenol)",Prepare according to FlavorActiV package instructions.,FlavorActiv
160,104,Chemical,"FlavorActiV “diesel/motor fuel"" (p-cymene)",Prepare according to FlavorActiV package instructions.,FlavorActiv
161,111,Cereal,Mix of breakfast cereals,"Mix equal parts of puffed rice, corn flakes and oat breakfast cereals. Put in a blender and “pulse” blend into small particles. Place 1 tablespoon in a medium snifter. Cover.","General Mills, Kellogg’s, Nestlé"
162,111,Cereal,“Le Nez du Café Revelation” (36 vials) – Vial # 22: Toast,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
163,111,Cereal,"Scentone T100 – Vial #48, Malt","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
164,111,Cereal,“Le Nez du Café Revelation” (36 vials) – Vial # 23: Malt,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
165,111,Cereal,"""Le Nez du Café"" (2025, 60 vials) - Vial #44: Toast","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
166,111,Cereal,"""Le Nez du Café"" (2025, 60 vials) - Vial #45: Malt","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
167,111,Cereal,The Coffee Sensorium Flavour Kit - Vial #104: Cereal,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
